2024 Spring-Summer IREAD-3 Results,,,,,,,
"Proficiency rates reflect best Spring/Summer result of first-time third grade cohort, including previous year 2nd grade proficient results",,,,,,,
Public/Nonpublic,Corp Id,Corp Name,Sch Id,Sch Name,IREAD PASS N,IREAD TEST N,IREAD Pass%
Public,9990,Higher Institute of Arts & Tech,1116,Higher Institute of Arts & Tech,12,25,48.0%
Nonpublic,-999,Independent Non-Public Schools,A004,Hagia Sophia Classical Academy,***,2,***
Nonpublic,-999,Independent Non-Public Schools,A102,Maple Creek Adventist Academy,***,1,***
Nonpublic,-999,Independent Non-Public Schools,A119,Dana Christian School Corporation,***,2,***
Nonpublic,-999,Independent Non-Public Schools,A121,Evansville Adventist Academy,***,4,***
Nonpublic,-999,Independent Non-Public Schools,A126,Edinburgh Christian School,***,3,***
Nonpublic,-999,Independent Non-Public Schools,A138,Hillsboro Christian Academy,***,4,***
Nonpublic,-999,Independent Non-Public Schools,A142,Emmanuel Christian School of Fort Wayne,11,13,84.6%
Nonpublic,-999,Independent Non-Public Schools,A149,Apogee School For The Gifted ,***,4,***
Nonpublic,-999,Independent Non-Public Schools,A172,Blackhawk Christian Elementary Sch,71,73,97.3%
Nonpublic,-999,Independent Non-Public Schools,A236,Cornerstone College Prep Sch,***,6,***
Nonpublic,-999,Independent Non-Public Schools,A249,Central Christian School,17,17,100.0%
Nonpublic,-999,Independent Non-Public Schools,A260,Aboite Christian School,***,2,***
Nonpublic,-999,Independent Non-Public Schools,A275,Crossroad Child & Family Services,***,1,***
Nonpublic,-999,Independent Non-Public Schools,A303,FaithPrep Indiana,***,2,***
Nonpublic,-999,Independent Non-Public Schools,A304,GEO Focus Academy,***,6,***
Nonpublic,-999,Independent Non-Public Schools,A308,Islamic Academy of Kendallville,4,14,28.6%
Nonpublic,-999,Independent Non-Public Schools,A311,Saint Thomas More Academy,19,20,95.0%
Nonpublic,-999,Independent Non-Public Schools,A317,Liberty Academy of Columbus,***,2,***
Nonpublic,-999,Independent Non-Public Schools,A324,Montessori Science Academy,***,2,***
Nonpublic,-999,Independent Non-Public Schools,A450,Columbus Christian School Inc,40,44,90.9%
Nonpublic,-999,Independent Non-Public Schools,A724,Good Shepherd Christian Academy,***,3,***
Nonpublic,-999,Independent Non-Public Schools,A740,Lakewood Park Christian School,45,48,93.8%
Nonpublic,-999,Independent Non-Public Schools,A746,Heritage Hall Christian School,16,18,88.9%
Nonpublic,-999,Independent Non-Public Schools,A875,Clinton Christian School,20,20,100.0%
Nonpublic,-999,Independent Non-Public Schools,A990,Elkhart Christian Academy,37,38,97.4%
Nonpublic,-999,Independent Non-Public Schools,B015,Bethany Christian School,16,17,94.1%
Nonpublic,-999,Independent Non-Public Schools,B045,Christian Academy of Indiana,78,78,100.0%
Nonpublic,-999,Independent Non-Public Schools,B085,Covington Christian School,***,1,***
Nonpublic,-999,Independent Non-Public Schools,B129,Life Christian STEAM Academy,***,6,***
Nonpublic,-999,Independent Non-Public Schools,B136,The King's Academy,9,11,81.8%
Nonpublic,-999,Independent Non-Public Schools,B145,Lakeview Christian School Inc,13,14,92.9%
Nonpublic,-999,Independent Non-Public Schools,B160,Eman Schools,36,36,100.0%
Nonpublic,-999,Independent Non-Public Schools,B161,Fishers Christian Academy,16,16,100.0%
Nonpublic,-999,Independent Non-Public Schools,B195,Cicero Adventist School,***,4,***
Nonpublic,-999,Independent Non-Public Schools,B205,Union Bible College & Academy,***,3,***
Nonpublic,-999,Independent Non-Public Schools,B248,Legacy Christian School,22,22,100.0%
Nonpublic,-999,Independent Non-Public Schools,B251,Indy West Early Learning Center,12,13,92.3%
Nonpublic,-999,Independent Non-Public Schools,B290,Bethesda Christian School,37,39,94.9%
Nonpublic,-999,Independent Non-Public Schools,B295,Indy West Christian School,40,42,95.2%
Nonpublic,-999,Independent Non-Public Schools,B299,Legacy Learning Center,19,19,100.0%
Nonpublic,-999,Independent Non-Public Schools,B302,Guidance Islamic School,***,2,***
Nonpublic,-999,Independent Non-Public Schools,B455,Sandy Creek Christian Academy ,11,11,100.0%
Nonpublic,-999,Independent Non-Public Schools,B470,DeMotte Christian School,36,38,94.7%
Nonpublic,-999,Independent Non-Public Schools,B483,Jay County Christian Academy,15,15,100.0%
Nonpublic,-999,Independent Non-Public Schools,B493,Christian Academy of Madison,14,14,100.0%
Nonpublic,-999,Independent Non-Public Schools,B549,Greenwood Christian School,21,21,100.0%
Nonpublic,-999,Independent Non-Public Schools,B595,Lakeland Christian Academy,28,31,90.3%
Nonpublic,-999,Independent Non-Public Schools,B771,Crown Point Christian School,89,93,95.7%
Nonpublic,-999,Independent Non-Public Schools,B806,Ambassador Christian Academy,16,22,72.7%
Nonpublic,-999,Independent Non-Public Schools,B815,Calumet Christian School,11,12,91.7%
Nonpublic,-999,Independent Non-Public Schools,B821,Indiana Horizon Academy,11,12,91.7%
Nonpublic,-999,Independent Non-Public Schools,B951,Morning Star Academy,***,4,***
Nonpublic,-999,Independent Non-Public Schools,C020,Highland Christian School,66,67,98.5%
Nonpublic,-999,Independent Non-Public Schools,C112,Door Prairie Adventist School,***,1,***
Nonpublic,-999,Independent Non-Public Schools,C175,Indiana Christian Academy,19,21,90.5%
Nonpublic,-999,Independent Non-Public Schools,C215,Cross Street Christian School,***,5,***
Nonpublic,-999,Independent Non-Public Schools,C226,Liberty Christian Elementary,13,18,72.2%
Nonpublic,-999,Independent Non-Public Schools,C250,Anderson Christian School,***,1,***
Nonpublic,-999,Independent Non-Public Schools,C271,Curtis Wilson Primary School,10,10,100.0%
Nonpublic,-999,Independent Non-Public Schools,C275,Heritage Christian School,95,98,96.9%
Nonpublic,-999,Independent Non-Public Schools,C281,Cornerstone Baptist Academy,***,5,***
Nonpublic,-999,Independent Non-Public Schools,C282,Horizon Christian School,23,23,100.0%
Nonpublic,-999,Independent Non-Public Schools,C325,Suburban Christian School,63,65,96.9%
Nonpublic,-999,Independent Non-Public Schools,C349,Southport Presbyterian Chrst Sch,***,9,***
Nonpublic,-999,Independent Non-Public Schools,C375,Traders Point Christian Schools,42,42,100.0%
Nonpublic,-999,Independent Non-Public Schools,C396,Burge Terrace Christian School,15,17,88.2%
Nonpublic,-999,Independent Non-Public Schools,C455,Indianapolis Junior Academy,***,7,***
Nonpublic,-999,Independent Non-Public Schools,C475,Hasten Hebrew Acad of Indianapolis,12,13,92.3%
Nonpublic,-999,Independent Non-Public Schools,C495,Colonial Christian School,19,20,95.0%
Nonpublic,-999,Independent Non-Public Schools,C513,Islamic Academy of Indianapolis,10,11,90.9%
Nonpublic,-999,Independent Non-Public Schools,C514,Crosspointe Christian Academy,15,19,78.9%
Nonpublic,-999,Independent Non-Public Schools,C519,Chapel Hill Christian School,2,10,20.0%
Nonpublic,-999,Independent Non-Public Schools,C561,Trinity Christian School,9,10,90.0%
Nonpublic,-999,Independent Non-Public Schools,C563,Shepherd Community Academy ,14,17,82.4%
